artist,track,track_url,tags
Hozier,Someone New,https://www.last.fm/music/Hozier/_/Someone+New,"soul, folk, indie, blues, alternative rock, alternative, irish, WSUM 91.7 FM Madison, The Rewind, synthpop"
RAYE,Escapism.,https://www.last.fm/music/RAYE/_/Escapism.,"trip hop, alternative rnb, rap, rnb, Neo-Soul, UK hip hop, jazz rap, raye, pop rap, groovy"
RAYE,WHERE IS MY HUSBAND!,https://www.last.fm/music/RAYE/_/WHERE+IS+MY+HUSBAND%21,"Big Band, contemporary rnb, pop soul, Neo-Soul, Go-Go, jazz pop"
RAYE,Oscar Winning Tears.,https://www.last.fm/music/RAYE/_/Oscar+Winning+Tears.,"jazz, blues, rnb, pop, pop rap, UK hip hop, doo-wop, pop soul, contemporary rnb, brill building"
RAYE,Worth It.,https://www.last.fm/music/RAYE/_/Worth+It.,"rnb, pop, happy, contemporary rnb, motown sound, pop soul, philly soul, synth funk, boggie, 2023"
Daft Punk,One More Time,https://www.last.fm/music/Daft+Punk/_/One+More+Time,"electronic, dance, House, electronica, techno, Daft Punk, party, french, french house, 00s"
Daft Punk,"Harder, Better, Faster, Stronger","https://www.last.fm/music/Daft+Punk/_/Harder,+Better,+Faster,+Stronger","electronic, dance, House, techno, electronica, Daft Punk, french, electro, french house, 00s"
Daft Punk,Around the World,https://www.last.fm/music/Daft+Punk/_/Around+the+World,"electronic, dance, House, poptron, techno, electronica, Daft Punk, 90s, french, french house"
Daft Punk,Something About Us,https://www.last.fm/music/Daft+Punk/_/Something+About+Us,"electronic, chillout, poptron, electronica, Daft Punk, House, chill, Love, funk, downtempo"
Daft Punk,Digital Love,https://www.last.fm/music/Daft+Punk/_/Digital+Love,"electronic, dance, poptron, House, electronica, Daft Punk, Love, french, techno, french house"
Harry Styles,As It Was,https://www.last.fm/music/Harry+Styles/_/As+It+Was,"pop, rock and roll over, WSUM 91.7 FM Madison, synthpop, indie pop, rock, pop rock, british, new wave, Harry"
Harry Styles,Watermelon Sugar,https://www.last.fm/music/Harry+Styles/_/Watermelon+Sugar,"pop, rock, indie pop, 2019, 2010s, 2020s, alternative rock, summer, pop rock, fine line"
Harry Styles,Adore You,https://www.last.fm/music/Harry+Styles/_/Adore+You,"pop, 2010s, rock, pop rock, 2019, indie pop, british, 2020, adoration, boogie"
Harry Styles,Sign of the Times,https://www.last.fm/music/Harry+Styles/_/Sign+of+the+Times,"rock, alternative, pop, indie, 2017, british, soft rock, pop rock, alternative rock, 2010s"
Harry Styles,Late Night Talking,https://www.last.fm/music/Harry+Styles/_/Late+Night+Talking,"pop, dance, 2022, synthpop, 2020s, rnb, pop rock, electrofunk, dance-pop, funk pop"
Sade,Smooth Operator - Single Version,https://www.last.fm/music/Sade/_/Smooth+Operator+-+Single+Version,"80s, soul, Smooth Jazz, jazz, Bossa Nova, Sade, Sophisti-Pop, jazz vocalists, tiktok, spotified"
Sade,Kiss Of Life,https://www.last.fm/music/Sade/_/Kiss+Of+Life,"soul, Sade, female vocalists, jazz, chillout, Smooth Jazz, chill, romantic, love songs, easy listening"
Sade,Like a Tattoo,https://www.last.fm/music/Sade/_/Like+a+Tattoo,"soul, jazz, Sade, female vocalists, chillout, chill, pop, Smooth Jazz, 80s, female vocalist"
Sade,No Ordinary Love,https://www.last.fm/music/Sade/_/No+Ordinary+Love,"soul, female vocalists, jazz, Sade, Love, chillout, Smooth Jazz, pop, 90s, Mellow"
Sade,Paradise,https://www.last.fm/music/Sade/_/Paradise,"soul, jazz, female vocalists, Sade, chillout, 80s, easy listening, Smooth Jazz, chill, paradise"
The Smashing Pumpkins,1979 - Remastered 2012,https://www.last.fm/music/The+Smashing+Pumpkins/_/1979+-+Remastered+2012,"alternative rock, rock, dream pop, alternative, indie rock, 90s, 90s Rock, nostalgia, alt, pop rock"
The Smashing Pumpkins,Bullet With Butterfly Wings - remastered 2012,https://www.last.fm/music/The+Smashing+Pumpkins/_/Bullet+With+Butterfly+Wings+-+remastered+2012,"alternative rock, rock, Grunge, alternative metal, loud, instrumental, groovy, mistagged, spoken, Angst-Ridden"
Pierce the Veil,King for a Day,https://www.last.fm/music/Pierce+the+Veil/_/King+for+a+Day,"post-hardcore, emo, rock, screamo, Progressive rock, emo-pop, Soundtrack, post-hard core, pierce the veil, Easycore"
Pierce the Veil,A Match Into Water,https://www.last.fm/music/Pierce+the+Veil/_/A+Match+Into+Water,"post-hardcore, emo, metalcore, screamo, alternative rock, rock, metal, perf, hardcore, emocore"
