artist,track,track_url,related_artist,related_track,related_track_url,tags
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,Wheatus,Teenage Dirtbag,https://www.last.fm/music/Wheatus/_/Teenage+Dirtbag,"rock, alternative, alternative rock, 90s, pop, 00s, pop punk, pop rock, wheatus, happy"
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,bôa,Twilight,https://www.last.fm/music/b%C3%B4a/_/Twilight,"alternative rock, rock, alternative, female vocalist, british, post-grunge, indie, female vocals, Soundtrack, indie rock"
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,,,,"alternative, alternative rock, radiohead, rock, indie, 90s, british, beautiful, sad, melancholy"
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,Radiohead,Let Down,https://www.last.fm/music/Radiohead/_/Let+Down,"alternative, alternative rock, rock, radiohead, beautiful, 90s, indie, british, art rock, melancholy"
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,"alternative, alternative rock, rock, indie, radiohead, 90s, british, indie rock, beautiful, britpop"
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,Pixies,Where Is My Mind?,https://www.last.fm/music/Pixies/_/Where+Is+My+Mind%3F,"alternative, rock, alternative rock, indie, indie rock, fight club, Soundtrack, 80s, loved, pixies"
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,Foo Fighters,Everlong,https://www.last.fm/music/Foo+Fighters/_/Everlong,"rock, alternative rock, 90s, alternative, foo fighters, Grunge, post-grunge, hard rock, Dave Grohl, beautiful"
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,Gorillaz,On Melancholy Hill,https://www.last.fm/music/Gorillaz/_/On+Melancholy+Hill,"electronic, alternative, pop, rock, beautiful, gorillaz, indie, 2010, synthpop, british"
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,Deftones,Change (In the House of Flies),https://www.last.fm/music/Deftones/_/Change+(In+the+House+of+Flies),"metal, rock, alternative rock, alternative, alternative metal, Deftones, Nu Metal, beautiful, atmospheric, melancholy"
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,bôa,Twilight,https://www.last.fm/music/b%C3%B4a/_/Twilight,"alternative rock, rock, alternative, female vocalist, british, post-grunge, indie, female vocals, Soundtrack, indie rock"
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,Weezer,Buddy Holly,https://www.last.fm/music/Weezer/_/Buddy+Holly,"rock, 90s, alternative rock, alternative, weezer, power pop, indie, indie rock, american, geek rock"
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,Jeff Buckley,Grace,https://www.last.fm/music/Jeff+Buckley/_/Grace,"rock, singer-songwriter, alternative rock, indie, alternative, jeff buckley, 90s, beautiful, melancholy, male vocalists"
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises,Jeff Buckley,Last Goodbye,https://www.last.fm/music/Jeff+Buckley/_/Last+Goodbye,"singer-songwriter, rock, alternative rock, alternative, jeff buckley, 90s, Love, beautiful, sad, male vocalists"
Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,,,,"alternative, alternative rock, rock, indie, radiohead, 90s, british, indie rock, beautiful, britpop"
Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,Radiohead,Paranoid Android,https://www.last.fm/music/Radiohead/_/Paranoid+Android,"alternative rock, alternative, rock, indie, radiohead, 90s, british, experimental, Progressive rock, indie rock"
Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,Radiohead,Exit Music (for a Film),https://www.last.fm/music/Radiohead/_/Exit+Music+(for+a+Film),"alternative, alternative rock, melancholy, rock, radiohead, sad, 90s, beautiful, british, indie"
Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,Pixies,Where Is My Mind?,https://www.last.fm/music/Pixies/_/Where+Is+My+Mind%3F,"alternative, rock, alternative rock, indie, indie rock, fight club, Soundtrack, 80s, loved, pixies"
Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,Foo Fighters,Everlong,https://www.last.fm/music/Foo+Fighters/_/Everlong,"rock, alternative rock, 90s, alternative, foo fighters, Grunge, post-grunge, hard rock, Dave Grohl, beautiful"
Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,Weezer,Buddy Holly,https://www.last.fm/music/Weezer/_/Buddy+Holly,"rock, 90s, alternative rock, alternative, weezer, power pop, indie, indie rock, american, geek rock"
Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,Pixies,All I Think About Now,https://www.last.fm/music/Pixies/_/All+I+Think+About+Now,"Bagel, alternative rock, rock, alt rock, alternative, post-punk, indie rock, mel gibson, slacker rock, -1001507082233"
Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,Muse,Hysteria,https://www.last.fm/music/Muse/_/Hysteria,"alternative rock, rock, Progressive rock, alternative, Muse, british, indie rock, indie, hysteria, epic"
Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,Jeff Buckley,Grace,https://www.last.fm/music/Jeff+Buckley/_/Grace,"rock, singer-songwriter, alternative rock, indie, alternative, jeff buckley, 90s, beautiful, melancholy, male vocalists"
Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,bôa,Twilight,https://www.last.fm/music/b%C3%B4a/_/Twilight,"alternative rock, rock, alternative, female vocalist, british, post-grunge, indie, female vocals, Soundtrack, indie rock"
Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police,Weezer,Say It Ain't So,https://www.last.fm/music/Weezer/_/Say+It+Ain%27t+So,
Radiohead,High and Dry,https://www.last.fm/music/Radiohead/_/High+and+Dry,,,,"alternative, alternative rock, rock, 90s, radiohead, british, indie, britpop, beautiful, acoustic"
Radiohead,High and Dry,https://www.last.fm/music/Radiohead/_/High+and+Dry,Radiohead,Fake Plastic Trees,https://www.last.fm/music/Radiohead/_/Fake+Plastic+Trees,"alternative, alternative rock, rock, 90s, radiohead, beautiful, british, melancholy, sad, indie"
Radiohead,High and Dry,https://www.last.fm/music/Radiohead/_/High+and+Dry,Radiohead,The Bends,https://www.last.fm/music/Radiohead/_/The+Bends,"alternative rock, alternative, rock, indie, 90s, radiohead, british, indie rock, britpop, Radiohead-1995-The Bends"
Radiohead,High and Dry,https://www.last.fm/music/Radiohead/_/High+and+Dry,Foo Fighters,Everlong,https://www.last.fm/music/Foo+Fighters/_/Everlong,"rock, alternative rock, 90s, alternative, foo fighters, Grunge, post-grunge, hard rock, Dave Grohl, beautiful"
Radiohead,High and Dry,https://www.last.fm/music/Radiohead/_/High+and+Dry,Jeff Buckley,Last Goodbye,https://www.last.fm/music/Jeff+Buckley/_/Last+Goodbye,"singer-songwriter, rock, alternative rock, alternative, jeff buckley, 90s, Love, beautiful, sad, male vocalists"
Radiohead,High and Dry,https://www.last.fm/music/Radiohead/_/High+and+Dry,The Cranberries,Linger,https://www.last.fm/music/The+Cranberries/_/Linger,"rock, 90s, female vocalists, alternative, irish, alternative rock, pop, The Cranberries, soft rock, Mellow"
Radiohead,High and Dry,https://www.last.fm/music/Radiohead/_/High+and+Dry,The Smashing Pumpkins,1979,https://www.last.fm/music/The+Smashing+Pumpkins/_/1979,
Radiohead,High and Dry,https://www.last.fm/music/Radiohead/_/High+and+Dry,Jeff Buckley,Grace,https://www.last.fm/music/Jeff+Buckley/_/Grace,"rock, singer-songwriter, alternative rock, indie, alternative, jeff buckley, 90s, beautiful, melancholy, male vocalists"
Radiohead,High and Dry,https://www.last.fm/music/Radiohead/_/High+and+Dry,The Smashing Pumpkins,1979 - Remastered 2012,https://www.last.fm/music/The+Smashing+Pumpkins/_/1979+-+Remastered+2012,"alternative rock, rock, dream pop, alternative, indie rock, 90s, 90s Rock, nostalgia, alt, pop rock"
Radiohead,High and Dry,https://www.last.fm/music/Radiohead/_/High+and+Dry,Pixies,Here Comes Your Man,https://www.last.fm/music/Pixies/_/Here+Comes+Your+Man,"alternative, alternative rock, rock, indie, 80s, indie rock, pixies, loved, 1989, post-punk"
Radiohead,High and Dry,https://www.last.fm/music/Radiohead/_/High+and+Dry,Weezer,Buddy Holly,https://www.last.fm/music/Weezer/_/Buddy+Holly,"rock, 90s, alternative rock, alternative, weezer, power pop, indie, indie rock, american, geek rock"
Radiohead,Paranoid Android,https://www.last.fm/music/Radiohead/_/Paranoid+Android,,,,"alternative rock, alternative, rock, indie, radiohead, 90s, british, experimental, Progressive rock, indie rock"
Radiohead,Paranoid Android,https://www.last.fm/music/Radiohead/_/Paranoid+Android,Radiohead,Airbag,https://www.last.fm/music/Radiohead/_/Airbag,"alternative, alternative rock, rock, british, radiohead, 90s, experimental, art rock, indie, indie rock"
Radiohead,Paranoid Android,https://www.last.fm/music/Radiohead/_/Paranoid+Android,Radiohead,Subterranean Homesick Alien,https://www.last.fm/music/Radiohead/_/Subterranean+Homesick+Alien,"alternative rock, alternative, rock, radiohead, indie, 90s, british, experimental, Dreamy, art rock"
Radiohead,Paranoid Android,https://www.last.fm/music/Radiohead/_/Paranoid+Android,Jeff Buckley,Grace,https://www.last.fm/music/Jeff+Buckley/_/Grace,"rock, singer-songwriter, alternative rock, indie, alternative, jeff buckley, 90s, beautiful, melancholy, male vocalists"
